comments,
This is so dope. It makes me think of that Italian painted kitchenware too xD Joshua,"Kesller Branco  Ohara Betinho pena que esses carros a FIAT nem vem ao Brasil, se viesse tbm, não teria bolso pra bancar.1 · 2 May at 10:32Remove"
Bring this badass to India and see the magic!,Marie-josée Marcoux  Moi j'ai est une et je suis au Québec dans la neige 6 mois par année je l'adore mon 4x4 de ma Fiat 🤣🤣29 April at 04:14Remove
Hi! for more information you can contact Fiat India,"Stefan Stoica  On road...but  it's good that it has off-road capabilities too...just in case I want to go to a picnic in a remote place, after I push it on fast, twisty mountain roads.1 · 29 April at 04:06Remove"
Beautiful Wish it was sold here in India,"Luciano Lourenço  Luciano Lourenço CostaEndereço: Rua Castro Alves 796, Copacabana BH MG...See more28 April at 13:17Remove"
Hi! for more information you can contact Fiat India,Nevzat Özkarabaş  Bu araba önden çekişli olmalıydı 😐10 May at 14:24Remove
très joli ;),Jyoshil Pitamber  This is so dope. It makes me think of that Italian painted kitchenware too xD Joshua27 April at 09:58Remove
Mohammad,Jennifer Mccuskey  7 · 27 April at 14:16Remove
Very nice,Gurpreet Singh Khokhar  Bring this badass to India and see the magic!1 · 27 April at 09:56Remove
Wonderful car ...!,Fiat  Hi! for more information you can contact Fiat India28 April at 01:15Remove
Aún sigue saliendo el Fiat panda? Que precio tiene,Raghavendra Desai  Beautiful Wish it was sold here in India1 · 26 April at 12:31Remove
Siempre e querido uno de esos !!,Fiat  Hi! for more information you can contact Fiat India27 April at 01:19Remove
When is the first service is it 1000 or 100000,Aura Cruz Rubio  très joli ;)1 · 26 April at 19:15Remove
Cuando llegara a mexico,Rachelle Nassif  Mohammad26 April at 22:23Remove
"Hi Ivan, for more information you can contact Fiat México",ابو العز علي  Very nice2 · 24 April at 21:39Remove
Next car Wayne!! 💙,Luis Benjamìn D'Brot Melgar  Wonderful car ...!1 · 24 April at 20:35Remove
Solo bisogno di portare in Brasile come la Fiat Bravo è stata presa dalla linea e Fiat hanno una Hatch media in Brasile,Jesús Rosado  Aún sigue saliendo el Fiat panda? Que precio tiene6 May at 09:31Remove
"Hi Jose, you can contact Fiat Automóveis Brasil for more information",Gabriel Fernando Fagua Acevedo  Siempre e querido uno de esos !!25 May at 19:45Remove
I didn't buy any other car but Fiat in my whole life ( Punto Doblo Tipo Panda Uno Grand Punto )When do the new Tipo will available in Algeria ?,Mohamed Gaber  1 · 20 May at 22:17Remove
hi! you can contact Fiat Algérie for more information,Sally Ashraf Rabie  When is the first service is it 1000 or 10000029 May at 08:00Remove
Where can we buy them ?,Madjid Ait Djebbara  21 April at 06:38Remove
Hi Danny! you can contact FIAT USA for more information,Ivan Navarro  Cuando llegara a mexico19 April at 20:17Remove
Me pueden enviar información poder favor hellensoto91@hotmail.com,"Fiat  Hi Ivan, for more information you can contact Fiat México20 April at 01:05Remove"
Hi Hellen! you can contact Fiat Costa Rica for more information,Carly Louise  Next car Wayne!! 💙2 · 19 April at 05:26Remove
Linda máquina... Será el próximo paso?,Jose Paulo  Solo bisogno di portare in Brasile come la Fiat Bravo è stata presa dalla linea e Fiat hanno una Hatch media in Brasile18 April at 14:27Remove
"Have it, Love it!","Fiat  Hi Jose, you can contact Fiat Automóveis Brasil for more information19 April at 02:30Remove"
"If you need someone to advertise it on the streets, just borrow me one.",Yaàkoub Boudiaf  I didn't buy any other car but Fiat in my whole life ( Punto Doblo Tipo Panda Uno Grand Punto )When do the new Tipo will available in Algeria ?1 · 18 April at 14:04Remove
Fiat  means different,Fiat  hi! you can contact Fiat Algérie for more information19 April at 02:31Remove
Bring it to the US,Danny Rauton  Where can we buy them ?18 April at 06:59Remove
"Hi John, for more information you can follow FIAT USA",Fiat  Hi Danny! you can contact FIAT USA for more information19 April at 02:34Remove
"Without a turbo, the gas engine version is going to be gutless.  These foreign manufactures think only about big city driving.  Things are different when you live hours away from another town, 75mph speed limit, high winds, up and down terrian.",Hellen Lopez Soto  Me pueden enviar información poder favor hellensoto91@hotmail.com17 April at 05:02Remove
دائما مميزه وفي كل العصور,Fiat  Hi Hellen! you can contact Fiat Costa Rica for more information19 April at 02:36Remove
صلى الله على محمد صلى الله عليه وسلم,Antonio Román Coddou  Linda máquina... Será el próximo paso?1 · 16 April at 07:04Remove
Brabi elcouleur hedha mawjoud n7ib 3lih et merci,"Alisa Foat  Have it, Love it!1 · 16 April at 15:59Remove"
😍😍😍😍😍,"Stefan Stoica  If you need someone to advertise it on the streets, just borrow me one.15 April at 04:26Remove"
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,احمد نصر احمد نصر  Fiat  means different1 · 15 April at 08:08Remove
my next car ;),John Dice  Bring it to the US15 April at 03:35Remove
Sexy,"Fiat  Hi John, for more information you can follow FIAT USA18 April at 01:23Remove"
Donde se puede llamar para que por favor le brinden información ya que nunca me la enviaron por correo,"Brandon Kute  Without a turbo, the gas engine version is going to be gutless.  These foreign manufactures think only about big city driving.  Things are different when you live hours away from another town, 75mph speed limit, high winds, up and down terrian.30 April at 20:02Remove"
Hi Hellen! you can follow Fiat Costa Rica for more infomation,حمدي عثمان دائما مميزه وفي كل العصور14 April at 04:43Remove
superrrr ;),Gra Moh صلى الله على محمد صلى الله عليه وسلم1 · 13 April at 09:53Remove
#DaddyWants,Khadraoui Hana  Brabi elcouleur hedha mawjoud n7ib 3lih et merci1 · 13 April at 12:30Remove
I'll be getting one soon!! Of course blue!!!😍,Orietta Sidari - Eddie  😍😍😍😍😍1 · 13 April at 16:06Remove
Dear fiat India give us a service centre in alappuzha Kerala state soon......,Nedzada Zlatkic  ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️1 · 13 April at 09:04Remove
Hi! we suggest you to contact Fiat India for more information,Aura Cruz Rubio  my next car ;)12 April at 10:27Remove
lepo,Christopher Aynsley  Sexy12 April at 15:43Remove
Cute!,Hellen Lopez Soto  Donde se puede llamar para que por favor le brinden información ya que nunca me la enviaron por correo11 April at 05:28Remove
Is that one being sold in the United States?,Fiat  Hi Hellen! you can follow Fiat Costa Rica for more infomation11 April at 06:39Remove
Hi Joe!We suggest you to follow FIAT USA for more information,Aura Cruz Rubio  superrrr ;)2 · 11 April at 11:12Remove
Maria Trotta se quiser me dar de presente eu aceito viu... eu deixo vc dirigir! desde ja te amo,Michael Andonucci  #DaddyWants1 · 8 April at 04:36Remove
It vehicle release in india,Maria N Paul Nazzaro  I'll be getting one soon!! Of course blue!!!😍1 · 8 April at 03:38Remove
Hi Karthik! we suggest you to conctact Fiat India,UnniRaj VS Cheppad  Dear fiat India give us a service centre in alappuzha Kerala state soon......1 · 5 April at 10:16Remove
FIAT URUGUAY???,Fiat  Hi! we suggest you to contact Fiat India for more information7 April at 02:27Remove
Hi Carlo! we suggest you to follow Fiat Uruguay,Bogdan Branković  lepo1 · 10 April at 12:05Remove
Love the trekking! Wish i could get a manual in the States.,Gabor Fränkl  Cute!1 · 7 April at 14:18Remove
When are you launching this in India?,Joe Wozniak  Is that one being sold in the United States?1 · 31 March at 19:09Remove
Hi Mazin! we suggest you to contact Fiat India,Fiat  Hi Joe!We suggest you to follow FIAT USA for more information3 April at 00:46Remove
"Hola, algún lugar para poder hacer una denuncia a fiat Argentina?",Nathalia Trotta  Maria Trotta se quiser me dar de presente eu aceito viu... eu deixo vc dirigir! desde ja te amo1 · 4 April at 15:38Remove
Hi Adrian! We suggest you to contact Fiat Auto Argentina,Karthik Karthi  It vehicle release in india29 March at 10:01Remove
como e lindooooo,Fiat  Hi Karthik! we suggest you to conctact Fiat India30 March at 08:36Remove
good car,Carlo Casciotti  FIAT URUGUAY???30 March at 07:47Remove
😍😍😍😍😍,Fiat  Hi Carlo! we suggest you to follow Fiat Uruguay30 March at 08:34Remove
"Não comprem veículos FIAT, empresa com maior descaso com o consumidor. http://www.reclameaqui.com.br/.../nao-comprem-veiculos.../",Aline Sherwood  Love the trekking! Wish i could get a manual in the States.2 · 27 March at 05:18Remove
Tengo un fiat q tiene problema con la temperatura q es alguien me puede ayudar,Hatice Sülecik  1 · 28 March at 05:14Remove
"Bonjour, SVP est ce que toutes les voitures fiat panda modèle 2012,  4 cv essence,  ont un moteur grande punto?  Merci",Mazin Ruby  When are you launching this in India?1 · 25 March at 02:26Remove
"""And now my friend, the first rule of Italian driving. whatsa behind me (breaks rear view mirror off and tosses it behind him), is not important!""    - Gumball Rally, The - 1976 ...See more",Fiat  Hi Mazin! we suggest you to contact Fiat India27 March at 01:28Remove
Love it,"Adrian Guillermo  Hola, algún lugar para poder hacer una denuncia a fiat Argentina?26 March at 12:45Remove"
"Bring it to the states. We need more in the line up. Thanks, The USA",Fiat  Hi Adrian! We suggest you to contact Fiat Auto Argentina27 March at 01:28Remove
"When I change my Fiat Grande Punto ,I want to change with this Fiat 500L Trekking",Leila Falavinha  como e lindooooo1 · 22 March at 05:05Remove
I'm very scared to purchase a car like this it's very nice but scary,Nicole Huang  good car1 · 27 March at 19:53Remove
That's 500x <3,Sarra Samsara  😍😍😍😍😍3 · 21 March at 11:17Remove
<3 Love it,"Isadora Ribeiro Bianchini  Não comprem veículos FIAT, empresa com maior descaso com o consumidor. http://www.reclameaqui.com.br/.../nao-comprem-veiculos.../1 · 2 April at 10:52Remove"
"I have to say I think it's pretty plane in its external design, dis-appointing to me as I have owned 3 fiat 124 sports in my lifetime and I thought we would have stepped up in external design....appears not...very average. Car is way too high off ground for a roadster, wheels are boring like a home mortgage and front of car needs some design work. Sorry",Nedzada Zlatkic  1 · 20 March at 12:59Remove
"So what's the ""Europa"" have the others don't...and available in USA?",Cristina Muscanescu  1 · 21 March at 04:40Remove
Love my 2016 Italia series fiat ❤️,Willy Alberto Solano  Tengo un fiat q tiene problema con la temperatura q es alguien me puede ayudar1 · 18 March at 11:12Remove
When is that one coming to the United States?,"Imene Touati  Bonjour, SVP est ce que toutes les voitures fiat panda modèle 2012,  4 cv essence,  ont un moteur grande punto?  Merci20 March at 06:49Remove"
"Hi Joe, we suggest you to follow FIAT USA in order to stay update with all the news about the Fiat World in your area.","Debbi Thomas  ""And now my friend, the first rule of Italian driving. whatsa behind me (breaks rear view mirror off and tosses it behind him), is not important!""    - Gumball Rally, The - 1976 ...See more2 · 17 March at 11:47Remove"
I love mine!!!!    They are great fun little cars!  :),Sajeda Khalaf  Love it1 · 20 March at 10:45Remove
Why is this not in the states? The line must expand. Love our X and L. Bring us more models.,"Rob Parra  Bring it to the states. We need more in the line up. Thanks, The USA2 · 17 March at 09:32Remove"
Es mi sueño pero hay q ser realista soy pobre fiat deveria regalarme uno un fiat punto me gustaria,"Tamasi Iancsi  When I change my Fiat Grande Punto ,I want to change with this Fiat 500L Trekking17 March at 15:25Remove"
Make that states bound please. Ford doesn't sell the ranger any more and the chevy Colorado is just too big. Toyotas are too expensive. This would fit the nitch perfectly.,Juan-Pierre Swart  I'm very scared to purchase a car like this it's very nice but scary19 March at 05:05Remove
"This truck looks great, but why do Fiat (other than the 500 series) always look like others cars? I have a 500 Sport and a Dodge Journey,  or is it a Fiat Freemont? !!!",Elias Zenieh  That's 500x <316 March at 10:40Remove
Always beautiful FIAT !,Astrid Berndt  <3 Love it16 March at 14:25Remove
MY DREAM,"Tim Douglas-Denton  I have to say I think it's pretty plane in its external design, dis-appointing to me as I have owned 3 fiat 124 sports in my lifetime and I thought we would have stepped up in external design....appears not...very average. Car is way too high off ground for a roadster, wheels are boring like a home mortgage and front of car needs some design work. Sorry18 April at 06:11 · EditedRemove"
ufffff que lindoooo,"Steve Parsons  So what's the ""Europa"" have the others don't...and available in USA?16 March at 08:42Remove"
Love mine!!!!,Michelle Elizabeth  Love my 2016 Italia series fiat ❤️12 · 14 March at 07:59Remove
Get rid of the Dart and bring her to the US!  :),Madjid Ait Djebbara  1 · 14 March at 07:30Remove
Yet the US will never see it because they are determined to sell only the 500 nose here.,Joe Wozniak  When is that one coming to the United States?13 March at 10:38Remove
It would be nice muscular turbo engine into a minimum of 160-170 horsepower and a torque of 200 horsepower diesel engine is already very illenne the car !!!! Pretty weak in the same range of engines as well as the Fiat Linea one kind of gasoline engine...See more,"Fiat  Hi Joe, we suggest you to follow FIAT USA in order to stay update with all the news about the Fiat World in your area.14 March at 07:20Remove"
Sizi şiddetle kınıyorum  tipo bile çıkarttınız doğan şahin neden gelmiyo daha çok tesüf ederim sizlere yeter gelsin artık doğan şahin,Jean Pierre  I love mine!!!!    They are great fun little cars!  :)4 · 13 March at 09:27Remove
Looks great but must improve the traction control. And   absolutely discount for competition.,Rob Parra  Why is this not in the states? The line must expand. Love our X and L. Bring us more models.2 · 13 March at 03:58Remove
Quero carro deste,Willy Alberto Solano  Es mi sueño pero hay q ser realista soy pobre fiat deveria regalarme uno un fiat punto me gustaria14 March at 02:35Remove
Che bella!,Bill Davis  Make that states bound please. Ford doesn't sell the ranger any more and the chevy Colorado is just too big. Toyotas are too expensive. This would fit the nitch perfectly.4 · 11 March at 06:21Remove
FIAT BEST......,"Randy MacFarlane  This truck looks great, but why do Fiat (other than the 500 series) always look like others cars? I have a 500 Sport and a Dodge Journey,  or is it a Fiat Freemont? !!!11 March at 03:18Remove"
Fiat ponto,Luis Benjamìn D'Brot Melgar  Always beautiful FIAT !1 · 9 March at 17:18Remove
Bring panda to India..   eco sport and duster will have a tough time,Walter Vella  MY DREAM2 · 23 March at 11:33Remove
Well done to the fiat Family !,Mayra Luaces  ufffff que lindoooo8 March at 18:25Remove
"What a great looking vehicle...almost as pretty, as my 500L. :)",Marie Shaw  Love mine!!!!8 March at 19:36Remove
帥,Jean Pierre  Get rid of the Dart and bring her to the US!  :)2 · 8 March at 07:32Remove
Gostei muito bonito,Greg Smith  Yet the US will never see it because they are determined to sell only the 500 nose here.8 March at 18:35Remove
Here's the true keys to happiness!  The keys to my baby.   :)  I love my Fiat.,Molnár Dániel  It would be nice muscular turbo engine into a minimum of 160-170 horsepower and a torque of 200 horsepower diesel engine is already very illenne the car !!!! Pretty weak in the same range of engines as well as the Fiat Linea one kind of gasoline engine...See more1 · 7 March at 12:27Remove
check out http://www.sparklewithemily.co.uk/fiat-key-covers/4580079052 she makes handmade bedazzled fiat key covers!,Saim Gnsglu  Sizi şiddetle kınıyorum  tipo bile çıkarttınız doğan şahin neden gelmiyo daha çok tesüf ederim sizlere yeter gelsin artık doğan şahin4 · 7 March at 11:38Remove
bellísimo,Taner Turan  Looks great but must improve the traction control. And   absolutely discount for competition.1 · 7 March at 10:27Remove
سبق وان ارسلت وكتبت منشور عالصفحه منضمنا فيهطلبنشر صور موديلات فيات في مصر مقترنه بالسعرولم تكلفوا انفسكم حتي مجرد الرد...See more,Marisa Rocha Santos  Quero carro deste8 March at 09:50Remove
Fiat is about passion <3,Adar Teichner  Che bella!1 · 7 March at 02:11Remove
"Fiat Punto Robots Abandon Distressed Fat.2013 57 thousand km. All the care was done at the service of everything. As the car drove down the road, it began to wasted itself. We went to the service again, and the robots got oil leaks again. My guarante...See more",Дејан Стојилковић  FIAT BEST......2 · 7 March at 08:03Remove
"Hi Şeref, did you contact Fiat Turkey official page? They will give you all the support you need.",Mourad Dassi  Fiat ponto19 May at 11:52Remove
The launch date and approximate price please!!!,Pratap Jadhav  Bring panda to India..   eco sport and duster will have a tough time4 March at 15:21Remove
"Hi Er Sankalp Soni, in order to discover all the news about the Fiat World in your area we suggest you to follo Fiat India official page. Have a nice day. :)",Mario A. Cortez  Well done to the fiat Family !1 · 3 March at 14:10Remove
Perfect car!,Gabriel Alarcon  8 March at 18:18Remove
"I bought a 2016 fiat 500x trekking plus awd on 1/20/17 and already the service engine light and drive mode unavailable message has come up 3 times as of 2/25/17 (2/7/17, 2/22/17,2/25/17) I had the car serviced 3 days ago and the engine is still having issues. This is completely unacceptable. I have barely had the car for 30 days",حمدي عثمان لا تعليق رائعه2 March at 04:46Remove
Класика !!!,Olivia Olivia  😍😍😍😍😍1 · 1 March at 11:59Remove
Metolli Minator 500 D,"Joe Blum  What a great looking vehicle...almost as pretty, as my 500L. :)1 · 1 March at 13:22Remove"
"La vida son dos suspiros, uno ya ha lo has hecho........ Vive cada día...... El amor está a tu lado sólo hay que buscarlo",Kitty Kitty Sue  帥1 · 28 February at 06:58Remove
My girls,Telminha Jesus  Gostei muito bonito1 · 28 February at 06:50Remove
El 500 es bello por donde se le mire ....,Jean Pierre  Here's the true keys to happiness!  The keys to my baby.   :)  I love my Fiat.10 · 27 February at 11:50Remove
Buda benim kendi çizdiğim 14 şubat sevgililer günü nedeniyle adını aşk koyduğum araba çizimi,Shelby Cofrances  check out http://www.sparklewithemily.co.uk/fiat-key-covers/4580079052 she makes handmade bedazzled fiat key covers!10 March at 10:34Remove
sakın arkadaşlar almayın herşey araç satılan kadar aracımın 20 bin bakımına götürdüm  aracın balataları bitmek üzere dediler ücretli değişecek dediler değiştirdim fakat aracımın ön disklerin ses gelmeye başladı aradım tekrar götürdüm balataları  birdah...See more,Roberto Bernal  bellísimo1 · 26 February at 18:44Remove
Italian design is the best !,Nasser Nasser سبق وان ارسلت وكتبت منشور عالصفحه منضمنا فيهطلبنشر صور موديلات فيات في مصر مقترنه بالسعرولم تكلفوا انفسكم حتي مجرد الرد...See more2 March at 12:56Remove
;),Stanislav Tunkel  Fiat is about passion <32 · 22 February at 10:09Remove
nice love the look,"Şeref Balcı  Fiat Punto Robots Abandon Distressed Fat.2013 57 thousand km. All the care was done at the service of everything. As the car drove down the road, it began to wasted itself. We went to the service again, and the robots got oil leaks again. My guarante...See more21 February at 02:25Remove"
Hey did you forget to tour India which is part of the world too? :),"Fiat  Hi Şeref, did you contact Fiat Turkey official page? They will give you all the support you need.21 February at 03:48Remove"
When this x side is coming to India,Er Sankalp Soni  The launch date and approximate price please!!!20 February at 09:12Remove
"Hi Jogender, we suggest you to follow Fiat India official page. They will give you all the updates about the Fiat World in your area.","Fiat  Hi Er Sankalp Soni, in order to discover all the news about the Fiat World in your area we suggest you to follo Fiat India official page. Have a nice day. :)21 February at 02:01Remove"
"My first car.  Great little car Fiat 1100R wagon. I think it was 1966, but not sure. I had this in the early 1970s. All the seats lay down so it was great for camping. First of three Fiats / nine Italian cars. Rest Alfas. Was known as an Alfa Guru when I crewed on a few race cars. Love Italian cars. <3  This is not an actual picture of mine. Had to download.",Dragan Djurdjev  Perfect car!1 · 16 February at 09:24Remove
sakın arkadaşlar almayın herşey araç satılan kadar aracımın 20 bin bakımına götürdüm  aracın balataları bitmek üzere dediler ücretli değişecek dediler değiştirdim fakat aracımın ön disklerin ses gelmeye başladı aradım tekrar götürdüm balataları  birdah...See more,"Rachel Some  I bought a 2016 fiat 500x trekking plus awd on 1/20/17 and already the service engine light and drive mode unavailable message has come up 3 times as of 2/25/17 (2/7/17, 2/22/17,2/25/17) I had the car serviced 3 days ago and the engine is still having issues. This is completely unacceptable. I have barely had the car for 30 days25 February at 15:58Remove"
Love it,Костадин Койчев  Класика !!!1 · 15 February at 07:45Remove
Love all fiat,Qefsere B'e Pacolli  Metolli Minator 500 D1 · 15 February at 07:47Remove
sakın arkadaşlar almayın herşey araç satılan kadar aracımın 20 bin bakımına götürdüm  aracın balataları bitmek üzere dediler ücretli değişecek dediler değiştirdim fakat aracımın ön disklerin ses gelmeye başladı aradım tekrar götürdüm balataları  birdah...See more,"David Martinez  La vida son dos suspiros, uno ya ha lo has hecho........ Vive cada día...... El amor está a tu lado sólo hay que buscarlo2 · 14 February at 01:50Remove"
Esta  mortalazo pero hagan una voz que te anuncie cuando no prendes las luces de dia si no la policia caminera te vacuna mal. Con esa plata te pagas una cuota del auto. Cualidad diferencial interesante,Ardijan Kovaci  My girls5 · 15 February at 06:18Remove
"The Prince is coming guys world best hatchback, 1.6 engine 160 BHP",Luis Benjamìn D'Brot Melgar  El 500 es bello por donde se le mire ....13 February at 04:21Remove
I'd buy one tomorrow if they brought it to the US!!,Arzu Marshall  Buda benim kendi çizdiğim 14 şubat sevgililer günü nedeniyle adını aşk koyduğum araba çizimi1 · 12 February at 10:30Remove
sakın arkadaşlar almayın herşey araç satılan kadar aracımın 20 bin bakımına götürdüm  aracın balataları bitmek üzere dediler ücretli değişecek dediler değiştirdim fakat aracımın ön disklerin ses gelmeye başladı aradım tekrar götürdüm balataları  birdah...See more,Hakan Ercan  sakın arkadaşlar almayın herşey araç satılan kadar aracımın 20 bin bakımına götürdüm  aracın balataları bitmek üzere dediler ücretli değişecek dediler değiştirdim fakat aracımın ön disklerin ses gelmeye başladı aradım tekrar götürdüm balataları  birdah...See more13 February at 03:51Remove
My favorite is Fiat 500X!,Dragan Djurdjev  Italian design is the best !12 · 8 February at 02:34Remove
The best ✋👍,Fiat  ;)2 · 8 February at 02:44Remove
"Fiat, you really just need to import your whole line to America. A true fun small alternative to the boring bloated me-too market we currently have.",Frank Filice  nice love the look4 · 8 February at 02:47Remove
"Owning and driving a Fiat 500 isvan experience that never gets old.  They aren't just transportation like a Honda or Toyota.   They're go karts for grown-ups!   Unique,  cute, fun, and safe.  I love mine!:)   Couldn't be happier.",Shinu George  7 · 7 February at 11:20Remove
"Schau mal, das ist ja ein hübsches Auto Svenja Uhl 😙",Subodh Dadarkar  Hey did you forget to tour India which is part of the world too? :)1 · 7 February at 19:33Remove
"Beauty with style,that is Fiat 500X!",Jogender Dhanda  When this x side is coming to India6 February at 05:24Remove
The Happy Car!,"Fiat  Hi Jogender, we suggest you to follow Fiat India official page. They will give you all the updates about the Fiat World in your area.7 February at 01:12Remove"
Mine always makes me smile! I ❤ Francesca! 😍,"Debbi Thomas  My first car.  Great little car Fiat 1100R wagon. I think it was 1966, but not sure. I had this in the early 1970s. All the seats lay down so it was great for camping. First of three Fiats / nine Italian cars. Rest Alfas. Was known as an Alfa Guru when I crewed on a few race cars. Love Italian cars. <3  This is not an actual picture of mine. Had to download.5 · 4 February at 02:41 · EditedRemove"
Well done fiat we as fans are very proud of what you have done this year again well done,Hakan Ercan  sakın arkadaşlar almayın herşey araç satılan kadar aracımın 20 bin bakımına götürdüm  aracın balataları bitmek üzere dediler ücretli değişecek dediler değiştirdim fakat aracımın ön disklerin ses gelmeye başladı aradım tekrar götürdüm balataları  birdah...See more13 February at 03:51Remove
Well done,John Russell Smouse  Love it1 · 3 February at 06:38Remove
Evergreen Fiat,Anz Anz  Love all fiat2 · 3 February at 07:25Remove
great Fiat 500X,Hakan Ercan  sakın arkadaşlar almayın herşey araç satılan kadar aracımın 20 bin bakımına götürdüm  aracın balataları bitmek üzere dediler ücretli değişecek dediler değiştirdim fakat aracımın ön disklerin ses gelmeye başladı aradım tekrar götürdüm balataları  birdah...See more13 February at 03:52Remove
sakın arkadaşlar almayın herşey araç satılan kadar aracımın 20 bin bakımına götürdüm  aracın balataları bitmek üzere dediler ücretli değişecek dediler değiştirdim fakat aracımın ön disklerin ses gelmeye başladı aradım tekrar götürdüm balataları  birdah...See more,Marcial Cohene  Esta  mortalazo pero hagan una voz que te anuncie cuando no prendes las luces de dia si no la policia caminera te vacuna mal. Con esa plata te pagas una cuota del auto. Cualidad diferencial interesante5 February at 13:25Remove
"Dear Fiat you have to redesign all of your cars especially from the front because it's ugly , i wish to change your cars designer ...but i love the performance of your cars","Shyam Viswanath  The Prince is coming guys world best hatchback, 1.6 engine 160 BHP1 · 26 January at 18:58Remove"
Best in class,Scott Hughes  I'd buy one tomorrow if they brought it to the US!!2 · 26 January at 19:45Remove
Fíat autocatedral si erguenza y las centrales no hacen nada por controlar,Hakan Ercan  sakın arkadaşlar almayın herşey araç satılan kadar aracımın 20 bin bakımına götürdüm  aracın balataları bitmek üzere dediler ücretli değişecek dediler değiştirdim fakat aracımın ön disklerin ses gelmeye başladı aradım tekrar götürdüm balataları  birdah...See more26 January at 22:47Remove
"sevgili fiat ve sevgili arkadaşlar, bir sorum ve sorunum var, dün 0 egea sedan 1.3 easy aldım aldığım şehirden oturduğum şehire 400 km yolculuk yaptım araçta fren çok yumuşak ve fren mesafesi çok uzun fren hiç güven vermiyor, bu genel bir sorunmudur yoksa benim arabaya has bir durum mudur ? öğrenmek isterim",Shinu George  9 · 25 January at 09:14Remove
"Hi Savaş, in this case we suggest you to contact the FIAT Türkiye official page. They will give you all the support you need.",Dragan Djurdjev  My favorite is Fiat 500X!3 · 1 February at 23:39 · EditedRemove
Beauty in motion!,Ððrit Yðcov  The best ✋👍1 · 25 January at 18:56Remove
I never thought I would love a spider so much.,"William Denny  Fiat, you really just need to import your whole line to America. A true fun small alternative to the boring bloated me-too market we currently have.3 · 20 January at 14:45Remove"
It's the Eye Of The Spider 124,"Jean Pierre  Owning and driving a Fiat 500 isvan experience that never gets old.  They aren't just transportation like a Honda or Toyota.   They're go karts for grown-ups!   Unique,  cute, fun, and safe.  I love mine!:)   Couldn't be happier.12 · 18 January at 02:40Remove"
Não aguento mais tentar falar com vocês e até agora. E ninguém resolve meu problema comprei um carro de vcs à vista. Na hora de vender e tudo maravilhoso.,"Anna Edel  Schau mal, das ist ja ein hübsches Auto Svenja Uhl 😙18 January at 13:29Remove"
Very nice car,"Dragan Djurdjev  Beauty with style,that is Fiat 500X!1 · 17 January at 07:13Remove"
Não aguento mais tentar falar com vocês e até agora. E ninguém resolve meu problema comprei um carro de vcs à vista. Na hora de vender e tudo maravilhoso.,Steve Parsons  The Happy Car!5 · 16 January at 08:33Remove
Não aguento mais tentar falar com vocês e até agora. E ninguém resolve meu problema comprei um carro de vcs à vista. Na hora de vender e tudo maravilhoso.,Gina Ortega Cantu  Mine always makes me smile! I ❤ Francesca! 😍5 · 16 January at 11:26Remove
Antoine avoue tu as envie !! Ce 4 cylindre de malade ce frein un main en fonte !!,Max Irmscher  Well done fiat we as fans are very proud of what you have done this year again well done6 · 15 January at 05:09Remove
Merry Christmas Fiat,Jorge Quintas  Well done5 · 15 January at 04:03Remove
Merry Christmas Fiat,Aditya Bharaj  Evergreen Fiat2 · 12 January at 09:45Remove
I need one of these in my life -- the Abarth version.  <3  Vroom vroom,Dragan Djurdjev  great Fiat 500X4 · 11 January at 06:23Remove
Super car.,Hakan Ercan  sakın arkadaşlar almayın herşey araç satılan kadar aracımın 20 bin bakımına götürdüm  aracın balataları bitmek üzere dediler ücretli değişecek dediler değiştirdim fakat aracımın ön disklerin ses gelmeye başladı aradım tekrar götürdüm balataları  birdah...See more22 January at 01:57Remove
Não aguento mais tentar falar com vocês e até agora. E ninguém resolve meu problema comprei um carro de vcs à vista. Na hora de vender e tudo maravilhoso.,"Fiat Sy  Dear Fiat you have to redesign all of your cars especially from the front because it's ugly , i wish to change your cars designer ...but i love the performance of your cars9 January at 03:41Remove"
I would buy this immediately if you sold it in the United States! Please do.,Aditya Bharaj  Best in class2 · 9 January at 09:41Remove
Like mine in black,Gladys Mercedes Alvez  Fíat autocatedral si erguenza y las centrales no hacen nada por controlar10 January at 06:19Remove
I'm in love with my White Fiat 500❤️❤️❤️,"Savaş Karamus  sevgili fiat ve sevgili arkadaşlar, bir sorum ve sorunum var, dün 0 egea sedan 1.3 easy aldım aldığım şehirden oturduğum şehire 400 km yolculuk yaptım araçta fren çok yumuşak ve fren mesafesi çok uzun fren hiç güven vermiyor, bu genel bir sorunmudur yoksa benim arabaya has bir durum mudur ? öğrenmek isterim13 January at 11:45Remove"
"Ho voluto registrare qui la mia delusione con la FIAT di sospendere il Grand Siena TetraFuel. Il mondo che riflette sia in materia di inquinamento, il Brasile in un mai visto prima che la crisi economica e la FIAT che cosa fa? Interrompe l'auto più eco...See more","Fiat  Hi Savaş, in this case we suggest you to contact the FIAT Türkiye official page. They will give you all the support you need.30 January at 00:59Remove"
Real nice all,Dragan Djurdjev  Beauty in motion!3 · 6 January at 07:42Remove
"My son, daughter and I simply need something bigger.",Andrew Alexander Oostendorp  I never thought I would love a spider so much.1 · 4 January at 10:55Remove
